PO Number,Supplier Name,Source Location,Carrier Name,Carrier Location,Status,Order Date,Expected Delivery Date,Actual Delivery Date,Total Items,Total Value (INR),Payment Status,Priority
PO10001,Atlas Manufacturing,Kolkata,,,CANCELLED,2025-06-28,2025-07-11,,37,5328.87,PARTIALLY PAID,MEDIUM
PO10002,Sunrise Imports,Mumbai,,,OPEN,2025-07-04,2025-07-08,,45,41093.83,PARTIALLY PAID,HIGH
PO10003,Atlas Manufacturing,Lucknow,,,OPEN,2025-07-11,2025-07-14,,23,40837.18,PAID,MEDIUM
PO10004,Acme Supplies,Bengaluru,,,OPEN,2025-07-21,2025-07-24,,16,6965.75,PAID,MEDIUM
PO10005,Global Trade Co.,Chennai,BlueDart,Mumbai,IN TRANSIT,2025-07-17,2025-08-01,,9,42080.0,PAID,HIGH
PO10006,Sunrise Imports,Pune,,,OPEN,2025-06-20,2025-06-30,,21,4303.29,PAID,HIGH
PO10007,Global Trade Co.,Mumbai,,,OPEN,2025-07-02,2025-07-08,,13,24213.32,PAID,MEDIUM
PO10008,Acme Supplies,Ahmedabad,,,OPEN,2025-07-27,2025-08-06,,31,13543.41,PARTIALLY PAID,HIGH
PO10009,Sunrise Imports,Kolkata,,,OPEN,2025-08-05,2025-08-17,,48,11887.92,PENDING,LOW
PO10010,Acme Supplies,Ahmedabad,,,OPEN,2025-08-09,2025-08-23,,25,9603.71,PAID,LOW
PO10011,Acme Supplies,Bengaluru,,,CANCELLED,2025-06-26,2025-07-01,,13,23408.55,PAID,LOW
PO10012,Pacific Exports,Mumbai,India Post,Pune,IN TRANSIT,2025-06-23,2025-07-01,,20,9699.18,PARTIALLY PAID,HIGH
PO10013,Global Trade Co.,Hyderabad,,,OPEN,2025-07-02,2025-07-15,,10,42493.72,PENDING,MEDIUM
PO10014,Sunrise Imports,Hyderabad,,,OPEN,2025-07-28,2025-07-31,,11,11076.87,PENDING,MEDIUM
PO10015,Atlas Manufacturing,Kolkata,,,OPEN,2025-08-11,2025-08-20,,20,34907.14,PENDING,MEDIUM
PO10016,Sunrise Imports,Lucknow,BlueDart,Mumbai,IN TRANSIT,2025-08-10,2025-08-14,,4,24277.2,PARTIALLY PAID,HIGH
PO10017,Atlas Manufacturing,Mumbai,,,OPEN,2025-07-30,2025-08-12,,7,31531.06,PENDING,LOW
